BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
                                                            
                                                            
                                                            
                              j                             
                                                            
                                                            
        oo                                         j        
      BBBBB                                     BBBBBBBBBBB 
                                                            
                   ooo                 BBBBBBBB             
                                BBB                         
                                                            
                    c BBB                                   
                   BBB                            B         
      s       j                                             
     BBB     BBB            ooo           ooooooooooooooooo 
                         BBBBBBBBBB       ooooooooooooooooo 
         j         j                      oo   d    jj      
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
